AIRPORT_TYPE,ORIGIN_AIRPORT_ID,ORIGIN,ORIGIN_CITY_NAME,SERVICE_CLASS,REV_ACRFT_DEP_PERF_510,REV_ENP_FREIGHT_217,REV_ENP_MAIL_219
D,13682,NIP,"Jacksonville, FL",V,1.00,3.00,0.00
D,13198,MCI,"Kansas City, MO",V,5.00,24.00,0.00
D,11067,CMI,"Champaign/Urbana, IL",V,1.00,1.00,0.00
D,12892,LAX,"Los Angeles, CA",V,11.00,70.00,0.00
D,14730,SDF,"Louisville, KY",V,2.00,24.00,0.00
D,12896,LBB,"Lubbock, TX",V,6.00,7.00,0.00
D,13485,MSN,"Madison, WI",V,1.00,1.00,0.00
D,14197,POB,"Fayetteville, NC",V,2.00,34.00,0.00
D,13667,NGU,"Norfolk, VA",V,3.00,33.00,0.00
D,13487,MSP,"Minneapolis, MN",V,3.00,3.00,0.00
D,14533,RIV,"Riverside, CA",V,1.00,4.00,0.00
D,13495,MSY,"New Orleans, LA",V,3.00,11.00,0.00
D,12878,LAF,"Lafayette, IN",V,2.00,2.00,0.00
D,10185,AEX,"Alexandria, LA",V,1.00,12.00,0.00
D,11618,EWR,"Newark, NJ",V,33.00,167.00,4.00
D,13931,ORF,"Norfolk, VA",V,1.00,9.00,0.00
D,15919,XNA,"Fayetteville, AR",V,3.00,0.00,0.00
D,13851,OKC,"Oklahoma City, OK",V,3.00,3.00,0.00
D,13891,ONT,"Ontario, CA",V,6.00,51.00,0.00
D,11953,GNV,"Gainesville, FL",V,1.00,1.00,0.00
D,14107,PHX,"Phoenix, AZ",V,2.00,4.00,0.00
D,14122,PIT,"Pittsburgh, PA",V,1.00,1.00,0.00
D,14524,RIC,"Richmond, VA",V,1.00,13.00,0.00
D,14869,SLC,"Salt Lake City, UT",V,1.00,1.00,0.00
D,14771,SFO,"San Francisco, CA",V,53.00,742.00,37.00
D,14831,SJC,"San Jose, CA",V,5.00,58.00,0.00
D,14747,SEA,"Seattle, WA",V,2.00,2.00,0.00
D,15304,TPA,"Tampa, FL",V,4.00,12.00,0.00
D,11726,FOE,"Topeka, KS",V,4.00,10.00,0.00
D,10155,ACT,"Waco, TX",V,19.00,22.00,0.00
D,12264,IAD,"Washington, DC",V,4.00,52.00,0.00
D,16091,YIP,"Detroit, MI",V,2.00,2.00,0.00
D,10423,AUS,"Austin, TX",V,5.00,6.00,0.00
D,11982,GRK,"Killeen, TX",V,4.00,51.00,0.00
D,14112,PIE,"St. Petersburg, FL",V,1.00,2.00,0.00
D,13422,MOB,"Mobile, AL",V,1.00,1.00,0.00
D,15422,UAM,"Guam, TT",V,3.00,21.00,0.00
D,13029,LNK,"Lincoln, NE",V,2.00,2.00,0.00
D,15057,SVN,"Savannah, GA",V,1.00,15.00,0.00
D,11603,EUG,"Eugene, OR",V,2.00,2.00,0.00
D,11977,GRB,"Green Bay, WI",V,1.00,14.00,0.00
D,13697,N1C,"Cherry Point, NC",V,1.00,2.00,0.00
D,11789,FTW,"Dallas/Fort Worth, TX",V,3.00,3.00,0.00
D,11252,DAB,"Daytona Beach, FL",V,1.00,4.00,0.00
D,13290,MHK,"Manhattan/Ft. Riley, KS",V,15.00,21.00,0.00
D,10615,BIF,"El Paso, TX",V,3.00,28.00,0.00
D,13087,LSV,"Las Vegas, NV",V,1.00,3.00,0.00
D,11630,FAI,"Fairbanks, AK",V,1.00,4.00,0.00
D,10172,ADW,"Camp Springs, MD",V,1.00,1.00,0.00
D,13076,LSE,"La Crosse, WI",V,1.00,6.00,0.00
D,12016,GUM,"Guam, TT",V,13.00,62.00,3.00
D,14303,PUW,"Pullman, WA",V,1.00,1.00,0.00
D,15153,TCL,"Tuscaloosa, AL",V,1.00,1.00,0.00
D,15154,TCM,"Tacoma, WA",V,1.00,10.00,0.00
D,15074,SWO,"Stillwater, OK",V,12.00,12.00,0.00
D,12402,ITO,"Hilo, HI",K,282.00,1629.00,0.00
D,12173,HNL,"Honolulu, HI",K,1233.00,8965.00,1776.00
D,13830,OGG,"Kahului, HI",K,351.00,715.00,0.00
D,12758,KOA,"Kona, HI",K,385.00,618.00,134.00
D,12982,LIH,"Lihue, HI",K,265.00,1053.00,16.00
D,11995,GSO,"Greensboro/High Point, NC",V,1.00,0.00,4.00
D,13891,ONT,"Ontario, CA",V,1.00,0.00,7.00
D,10257,ALB,"Albany, NY",K,269.00,0.00,0.00
D,10140,ABQ,"Albuquerque, NM",K,261.00,8.00,0.00
D,10431,AVL,"Asheville, NC",K,384.00,0.00,0.00
D,10397,ATL,"Atlanta, GA",K,53584.00,16273.00,4866.00
D,10821,BWI,"Baltimore, MD",K,1209.00,44.00,81.00
D,10781,BTR,"Baton Rouge, LA",K,211.00,0.00,0.00
D,11641,FAY,"Fayetteville, NC",K,8.00,0.00,0.00
D,10620,BIL,"Billings, MT",K,32.00,1.00,0.00
D,10599,BHM,"Birmingham, AL",K,651.00,22.00,0.00
D,14574,ROA,"Roanoke, VA",K,88.00,0.00,0.00
D,10721,BOS,"Boston, MA",K,4619.00,1438.00,356.00
D,10792,BUF,"Buffalo, NY",K,520.00,0.00,0.00
D,12323,ILM,"Wilmington, NC",K,40.00,0.00,0.00
D,10994,CHS,"Charleston, SC",K,763.00,25.00,0.00
D,11057,CLT,"Charlotte, NC",K,1360.00,31.00,96.00
D,15024,STT,"Charlotte Amalie, VI",K,282.00,0.00,0.00
D,13232,MDW,"Chicago, IL",K,253.00,0.00,0.00
D,13930,ORD,"Chicago, IL",K,2467.00,48.00,48.00
D,15027,STX,"Christiansted, VI",K,40.00,0.00,0.00
